ExperimentID,UserID,VideoID,Activity,StartResolution,EndResolution,Gender,Personality,SI,TI,Cluster,Glasses
23,320,11,Sitting,360,1080,Male,Conscientiousness,8.778,3.687,00100,0
23,320,12,Sitting,360,1080,Male,Conscientiousness,38.861,36.951,00100,0
23,320,13,Sitting,360,480,Male,Conscientiousness,138.691,8.303,00100,0
23,320,14,Sitting,360,720,Male,Conscientiousness,136.498,28.59,00100,0
23,320,21,Walking,360,720,Male,Conscientiousness,14.343,3.491,00100,0
23,320,22,Walking,360,480,Male,Conscientiousness,40.179,38.442,00100,0
23,320,23,Walking,360,480,Male,Conscientiousness,117.562,6.145,00100,0
23,320,24,Walking,360,720,Male,Conscientiousness,118.669,26.814,00100,0
23,320,31,Running,360,720,Male,Conscientiousness,41.164,1.424,00100,0
23,320,32,Running,360,480,Male,Conscientiousness,40.308,31.631,00100,0
23,320,33,Running,360,480,Male,Conscientiousness,123.356,8.147,00100,0
23,320,34,Running,360,720,Male,Conscientiousness,138.758,37.133,00100,0
22,140,34,Running,360,480,Female,Neuroticism,138.758,37.133,10111,0
